City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
561,Robertsport,LR,79.18,6.7533,-11.3686,
562,Russell,US,81.68,32.3502,-85.1999,
563,Zavitinsk,RU,69.46,50.1167,129.45,
564,Dzilam Gonzalez,MX,78.44,21.2833,-88.9333,
566,Nizhnevartovsk,RU,64.42,60.9344,76.5531,
567,Celestun,MX,78.93,20.8667,-90.4,
568,Soyo,AO,74.3,-6.1349,12.3689,
569,Gurupa,BR,72.55,-1.405,-51.64,
570,Praia,CV,73.35,14.9215,-23.5087,
575,Khandyga,RU,75.63,62.6667,135.6,
577,Kainantu,PG,68.49,-6.2887,145.8655,
579,Abilene,US,88.02,32.4487,-99.7331,
580,Ashqelon,IL,70.41,31.6693,34.5715,
582,Chabahar,IR,85.46,25.2919,60.643,
583,Barkhan,PK,78.17,29.8977,69.5256,
584,Caxito,AO,68.16,-8.5785,13.6643,
585,Wawa,NG,74.75,9.9022,4.4192,
586,Chifeng,CN,82.33,42.2683,118.9636,
587,Bijapur,IN,72.09,16.8333,75.7,
589,Caronport,CA,86.68,50.4501,-105.8179,
590,Artyom,AZ,68.14,40.4723,50.333,
591,Tecoanapa,MX,79.99,16.5167,-98.75,
593,Meulaboh,ID,81.55,4.1363,96.1285,
594,Buala,SB,85.33,-8.145,159.5921,
595,Perpignan,FR,73.53,42.75,2.75,
596,Mastic Beach,US,71.85,40.7668,-72.8521,
597,Ust-Karsk,RU,65.26,52.7011,118.8077,
599,Ust-Nera,RU,68.05,64.5667,143.2,
600,Derzhavinsk,KZ,79.63,51.1,66.3167,
602,Kupang,ID,84.78,-10.1667,123.5833,
603,Awjilah,LY,72.81,29.1081,21.2869,
605,Alofi,NU,80.49,-19.0595,-169.9187,
606,Maceio,BR,74.64,-9.6658,-35.7353,
607,Ejido,VE,67.21,8.5514,-71.2375,
609,Lopatino,RU,61.93,52.6195,45.8118,
611,Pangai,TO,82.51,-19.8,-174.35,
612,Pontianak,ID,82.38,-0.0333,109.3333,
613,Candido Mendes,BR,73.62,-1.4467,-45.7167,
615,Yuanping,CN,65.48,38.7153,112.7575,
616,Victoria,HK,89.65,22.2855,114.1577,
617,Sao Desiderio,BR,65.93,-12.3633,-44.9733,
618,Paita,PE,69.91,-5.0892,-81.1144,
619,Lucea,JM,84.06,18.451,-78.1736,
620,Wajid,SO,69.37,3.8093,43.2471,
622,Herat,AF,66.79,34.5,62.0,
624,Colares,PT,66.43,38.7992,-9.4469,
625,Ilebo,CD,67.06,-4.3167,20.5833,
626,Aloleng,PH,85.28,16.1307,119.7824,
627,Kalmunai,LK,81.41,7.4167,81.8167,
628,College,US,84.99,64.8569,-147.8028,
629,Tevriz,RU,65.14,57.50899999999999,72.4042,
630,Rio Verde De Mato Grosso,BR,67.46,-18.9181,-54.8442,
631,Shahrud,IR,71.64,36.4182,54.9763,
632,Sungaipenuh,ID,71.55,-2.0833,101.3833,
633,Ulladulla,AU,65.88,-35.35,150.4667,
635,Atar,MR,89.87,20.5169,-13.0499,
636,Paramonga,PE,66.18,-10.6667,-77.8333,
637,Arrecife,ES,69.87,28.963,-13.5477,
640,Asau,RO,62.96,46.4333,26.4,
641,Hillsborough,US,83.84,37.5741,-122.3794,
642,Simao,CN,70.05,22.7886,100.9748,
643,Upata,VE,73.18,8.0086,-62.3989,
644,Pokhara,NP,76.78,28.2333,83.9833,
645,Raga,SS,68.72,8.4596,25.678,
646,Sparks,US,88.66,39.5349,-119.7527,
648,Kieta,PG,84.47,-6.2167,155.6333,
653,Keti Bandar,PK,83.37,24.1447,67.4497,
654,Tomatlan,MX,81.86,19.9333,-105.25,
657,Chippewa Falls,US,77.18,44.9369,-91.3929,
658,Ambad,IN,74.19,19.6167,75.8,
659,Oyama,JP,80.49,36.3,139.8,
661,Trairi,BR,74.86,-3.2778,-39.2689,
662,Itoman,JP,86.38,26.1247,127.6694,
663,Asino,RU,66.33,56.9979,86.1452,
664,Khani,GE,60.37,41.9563,42.9566,
665,Buraydah,SA,84.65,26.326,43.975,
666,Lebanon,US,75.42,36.2081,-86.2911,
667,Dakar,SN,77.88,14.6937,-17.4441,
668,Tautira,PF,82.42,-17.7333,-149.15,
670,Leeton,AU,61.9,-34.5667,146.4,
671,Parabel,RU,70.14,58.6978,81.4825,
673,Cabedelo,BR,74.07,-6.9811,-34.8339,
674,Katobu,ID,78.64,-4.9408,122.5276,
675,Ambon,ID,84.34,-3.6954,128.1814,
676,Puerto El Triunfo,SV,77.16,13.2833,-88.55,
678,Alanya,TR,68.23,36.5438,31.9998,
679,North Battleford,CA,78.89,52.7834,-108.2847,
680,Bo Phloi,TH,81.32,14.3236,99.5161,
681,Quelimane,MZ,65.39,-17.8786,36.8883,
683,Simdega,IN,77.59,22.6167,84.5167,
685,Falam,MM,68.97,22.9167,93.6833,
687,Hohhot,CN,64.69,40.8106,111.6522,
688,Ngunguru,NZ,64.17,-35.6167,174.5,
689,Qui Nhon,VN,89.37,13.7667,109.2333,
690,Nsunga,TZ,64.06,-1.1439,31.3947,
691,Gannan,CN,81.01,47.9147,123.5031,
692,Oskemen,KZ,62.56,49.9565,82.6119,
693,Khor,RU,76.82,47.8861,134.9464,
700,Oistins,BB,80.69,13.0667,-59.5333,
702,Kilindoni,TZ,77.13,-7.9139,39.6668,
703,Sambava,MG,69.53,-14.2667,50.1667,
704,Koumac,NC,79.18,-20.5667,164.2833,
705,Anloga,GH,82.62,5.7947,0.8973,
707,Gazojak,TM,79.7,41.1875,61.4036,
708,Flin Flon,CA,75.24,54.7682,-101.865,
709,Antalaha,MG,68.58,-14.9003,50.2788,
711,Ewo,CG,75.02,-0.8725,14.8206,
